experiment,experiment_id,experiment_title,strategy,variant,seed,metric_ap,precision,recall,f1,best_val_ap,val_test_ap_gap,source,notes
EXP1,1,Starter GraphSAGE,uniform,,45.0,0.0032986786742656,0.003745318352059925,0.0508474576271186,0.0069767441860465,0.3253539346399493,0.32205525596568374,result\exp1_summary.csv,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP2,2,GPU-bound GraphSAGE,uniform,exp2_gpu_bound,46.0,0.0028268373903693,0.0044994375703037125,0.0677966101694915,0.0084388185654008,0.2484616555014158,0.2456348181110465,result\exp2_summary.csv,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
EXP3,3,Stable training/evaluation,uniform,exp3_stable_training,42.0,0.0034828812137609,0.0,0.0,0.0,0.2975536975446718,0.2940708163309109,result\exp3_summary.csv,Memisahkan RNG training/evaluation dan menstabilkan checkpoint/threshold.
EXP4,4,GPU-bound stable evaluation,uniform,exp4_gpu_stable,42.0,0.0030893610818381,0.0,0.0,0.0,0.2769799370975498,0.2738905760157117,result\exp4_summary.csv,Menggabungkan jalur GPU EXP2 dengan evaluasi stabil EXP3.
EXP5,5,Corrected GPU sampler,uniform,exp5_gpu_corrected,42.0,0.0121051836546203,0.0027975814457178957,0.7209302325581395,0.0055735346997482,0.0114155393329527,-0.0006896443216675985,result\exp5_summary.csv,GPU sampler eksak tanpa replacement dan threshold fixed 0.5.
EXP6,6,Imbalance calibration,topology,exp6_gpu_tqdm,42.0,0.0237910480405234,0.7698412698412699,0.0217781769196228,0.04235807860262,0.6659478315392025,0.6421567801748908,result\exp6_summary.csv,"Threshold validation, gradient clipping, progress bar, full-data GPU."
EXP7,7,Memory-bounded importance,importance,exp7_memory_bounded,42.0,0.0112093094219684,0.0101010101010101,0.0232558139534883,0.0140845070422535,0.0169954857450981,0.0057861763231297,result\exp7_summary.csv,Membatasi temporary tensor importance/PPR agar tidak OOM.
EXP8,8,Adaptive batched importance,importance,exp8_adaptive_importance,42.0,0.0236192054918273,0.7741935483870968,0.0215536596317916,0.0419397116644823,0.6598536442851229,0.6362344399263388,result\exp8_summary.csv,Mempercepat importance sampling dengan batching adaptif dan cache bobot.
EXP9,9,Reference sampling,topology,exp9_reference_sampling_3dab9a5ac30d71cd_topology_seed42,42.0,0.0258615923431503,0.0041391208069676,0.1443646160754378,0.0080475090894299,0.6530447357484147,0.6271831434052644,result\exp9\runs.csv,Implementasi mandiri dengan frozen train graph dan definisi sampler eksplisit.
EXP10,10,Temporal robust,uniform,exp10_temporal_robust_81de71eac888b22b_uniform_seed42,42.0,0.0352682685448777,0.0377627822475992,0.0653345307588684,0.0478618421052631,0.7227922855387842,0.6875240169939064,result\exp10\runs.csv,"Robust features, balanced roots, dan validation selection temporal."
EXP11,11,Behavioral temporal,topology,exp11_behavioral_temporal_533260b8f51244e6_topology_seed42_attempt0001,42.0,0.1877907398553105,0.3039344262295081,0.2081275258194881,0.2470682302771855,0.8298098706753524,0.6420191308200419,result\exp11\runs.csv,Fitur perilaku strictly-past dan validation window terbaru.
EXP12,12,Recent context,uniform,exp12_recent_context_6d2d5b1e7aef6380_uniform_seed42,42.0,0.2485714871712006,0.4287434765154556,0.2397844634036821,0.3075593952483801,0.845463321400876,0.5968918342296754,result\exp12\runs.csv,Fitur recent context tambahan dan validasi recent interleaved.
EXP13,13,Kaggle T4 deployment,,,,,,,,,,,Tidak ada metrik lokal.
EXP14,14,Local temporal R0,uniform,R0,42.0,0.1871015049555408,0.2586206896551724,0.2593174674449933,0.2589686098654709,,,result\exp14\runs.csv,Perbandingan lokal uniform/topology/importance pada protokol R0.
