experiment,experiment_id,experiment_title,source,run,comparison_id,variant,strategy,seed,metric_ap,metric_name,roc_auc,precision,recall,f1,f1_macro,gmean,accuracy,specificity,false_positive_rate,alert_rate,decision_threshold,threshold_policy,best_val_ap,val_test_ap_gap,inference_seconds,inference_ms_per_1000,duration_seconds,peak_vram_gb,long_tail_recall,tp,fp,tn,fn,protocol,full_data,included_in_summary,notes
EXP1,1,Starter GraphSAGE,result\exp1_summary.csv,,,,uniform,42.0,0.003199812338987,AP/AUPRC,,0.0045662100456621,0.0847457627118644,0.0086655112651646,,,0.9618666666666666,0.9635950703049331,0.036404929695066965,,,,0.3315819907823814,0.3283821784433944,0.897054000000935,29.90180000003117,,,0.0847457627118644,5.0,1090.0,28851.0,54.0,temporal_70_15_15,,,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP1,1,Starter GraphSAGE,result\exp1_summary.csv,,,,uniform,43.0,0.0032020595634427,AP/AUPRC,,0.0014814814814814814,0.0169491525423728,0.0027247956403269,,,0.9756,0.9774890618215825,0.022510938178417556,,,,0.3782129341473685,0.3750108745839258,0.8960216999985278,29.867389999950927,,,0.0169491525423728,1.0,674.0,29267.0,58.0,temporal_70_15_15,,,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP1,1,Starter GraphSAGE,result\exp1_summary.csv,,,,uniform,44.0,0.0024681855510425,AP/AUPRC,,0.0024229837313949464,0.1186440677966101,0.0047489823609226,,,0.9022,0.9037440299255202,0.09625597007447981,,,,0.3122873424985772,0.3098191569475347,1.05565339999157,35.18844666638567,,,0.135593220338983,7.0,2882.0,27059.0,52.0,temporal_70_15_15,,,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP1,1,Starter GraphSAGE,result\exp1_summary.csv,,,,uniform,45.0,0.0032986786742656,AP/AUPRC,,0.003745318352059925,0.0508474576271186,0.0069767441860465,,,0.9715333333333334,0.9733475835810427,0.026652416418957284,,,,0.3253539346399493,0.32205525596568374,0.8792524999880698,29.30841666626899,,,0.0677966101694915,3.0,798.0,29143.0,56.0,temporal_70_15_15,,,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP1,1,Starter GraphSAGE,result\exp1_summary.csv,,,,uniform,46.0,0.0026038620134072,AP/AUPRC,,0.0034071550255536627,0.1016949152542373,0.0065934065934065,,,0.9397333333333333,0.9413847232891353,0.0586152767108647,,,,0.2941652498819029,0.2915613878684957,0.8724485000129789,29.081616667099297,,,0.135593220338983,6.0,1755.0,28186.0,53.0,temporal_70_15_15,,,"Baseline GraphSAGE, split temporal 70/15/15, prefix 200k rows."
EXP2,2,GPU-bound GraphSAGE,result\exp2_summary.csv,,,exp2_gpu_bound,uniform,42.0,0.0020188315678742,AP/AUPRC,,0.0015739769150052466,0.0508474576271186,0.0030534351145038,,,0.9347,0.9364416686149427,0.06355833138505727,,,,0.3126238706154415,0.3106050390475673,0.0486823999963235,1.622746666544117,,0.1349835395812988,,3.0,1903.0,28038.0,56.0,temporal_70_15_15,,,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
EXP2,2,GPU-bound GraphSAGE,result\exp2_summary.csv,,,exp2_gpu_bound,uniform,43.0,0.0022326888422413,AP/AUPRC,,0.0023952095808383233,0.0338983050847457,0.0044742729306487,,,0.9703333333333334,0.9721786179486324,0.02782138205136769,,,,0.1935613031770653,0.191328614334824,0.0473355000140145,1.5778500004671514,,0.1351799964904785,,2.0,833.0,29108.0,57.0,temporal_70_15_15,,,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
EXP2,2,GPU-bound GraphSAGE,result\exp2_summary.csv,,,exp2_gpu_bound,uniform,44.0,0.0022147406112013,AP/AUPRC,,0.0023923444976076554,0.1864406779661017,0.0047240712905303,,,0.8455,0.8467987041180989,0.15320129588190107,,,,0.2201645966370759,0.2179498560258746,0.0501655999978538,1.6721866665951286,,0.1351380348205566,,11.0,4587.0,25354.0,48.0,temporal_70_15_15,,,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
EXP2,2,GPU-bound GraphSAGE,result\exp2_summary.csv,,,exp2_gpu_bound,uniform,45.0,0.0027643976810886,AP/AUPRC,,0.0017123287671232876,0.0169491525423728,0.0031104199066874,,,0.9786333333333334,0.9805283724658495,0.019471627534150496,,,,0.336326730239422,0.3335623325583334,0.0622353999933693,2.074513333112312,,0.1351900100708007,,1.0,583.0,29358.0,58.0,temporal_70_15_15,,,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
EXP2,2,GPU-bound GraphSAGE,result\exp2_summary.csv,,,exp2_gpu_bound,uniform,46.0,0.0028268373903693,AP/AUPRC,,0.0044994375703037125,0.0677966101694915,0.0084388185654008,,,0.9686666666666667,0.9704418690090512,0.029558130990948867,,,,0.2484616555014158,0.2456348181110465,0.0563770000007934,1.8792333333597828,,0.1351752281188964,,4.0,885.0,29056.0,55.0,temporal_70_15_15,,,Memindahkan training/sampling utama ke GPU dengan candidate Gumbel top-k.
