experiment,experiment_id,experiment_title,strategy,runs,ap_mean,ap_std,ap_max,precision_mean,recall_mean,f1_mean,best_val_ap_mean,val_test_ap_gap_mean,inference_ms_per_1000_mean,peak_vram_gb_mean
EXP1,1,Starter GraphSAGE,uniform,5,0.002954519628229,0.0003870954597740691,0.0032986786742656,0.003124629727230423,0.07457627118644064,0.00594188800917342,0.32832029039003585,0.32536577076180684,30.669533999947213,
EXP2,2,GPU-bound GraphSAGE,uniform,5,0.00241149921855494,0.0003612194990449078,0.0028268373903693,0.0025146594661756448,0.07118644067796606,0.0047602035615542,0.2622276312340841,0.25981613201552917,1.7653060000156984,0.1351333618164062
EXP3,3,Stable training/evaluation,uniform,5,0.0028654265483676,0.000722821364032494,0.0034828812137609,0.0,0.0,0.0,0.3286086491215617,0.32574322257319405,74.13109466666356,
EXP4,4,GPU-bound stable evaluation,uniform,5,0.0026404625296600802,0.00032260140216058554,0.0030893610818381,0.0,0.0,0.0,0.239818555658651,0.2371780931289909,5.381251333359009,0.13507699966430659
EXP5,5,Corrected GPU sampler,uniform,1,0.0121051836546203,,0.0121051836546203,0.0027975814457178957,0.7209302325581395,0.0055735346997482,0.0114155393329527,-0.0006896443216675985,13.06821999993796,0.102856159210205
EXP6,6,Imbalance calibration,topology,1,0.0237910480405234,,0.0237910480405234,0.7698412698412699,0.0217781769196228,0.04235807860262,0.6659478315392025,0.6421567801748908,28.57791724245213,7.754501342773437
EXP6,6,Imbalance calibration,uniform,1,0.0234596678535829,,0.0234596678535829,0.6956521739130435,0.0215536596317916,0.0418118466898954,0.664371617961896,0.6409119472217706,28.406595672268026,6.409760475158691
EXP7,7,Memory-bounded importance,importance,1,0.0112093094219684,,0.0112093094219684,0.0101010101010101,0.0232558139534883,0.0140845070422535,0.0169954857450981,0.0057861763231297,382.9295266691285,0.0915813446044921
EXP7,7,Memory-bounded importance,topology,1,0.0108020964992586,,0.0108020964992586,0.0081967213114754,0.0232558139534883,0.0121212121212121,0.0163707863484138,0.0055686898491551,5.385820001053314,0.0933022499084472
EXP7,7,Memory-bounded importance,uniform,1,0.0108001311859011,,0.0108001311859011,0.0081967213114754,0.0232558139534883,0.0121212121212121,0.0163719607294518,0.0055718295435507,3.481286667132129,0.0915899276733398
EXP8,8,Adaptive batched importance,importance,1,0.0236192054918273,,0.0236192054918273,0.7741935483870968,0.0215536596317916,0.0419397116644823,0.6598536442851229,0.6362344399263388,91.45973521303044,6.409760475158691
EXP9,9,Reference sampling,importance,1,0.0254477615637858,,0.0254477615637858,0.0042981577512647,0.1522227211495285,0.0083602554933537,0.6523082773369347,0.6268605157731489,0.1305613259569436,2.1657509803771973
EXP9,9,Reference sampling,topology,1,0.0258615923431503,,0.0258615923431503,0.0041391208069676,0.1443646160754378,0.0080475090894299,0.6530447357484147,0.6271831434052644,0.144016227291654,2.1657509803771973
EXP9,9,Reference sampling,uniform,1,0.0252881879373996,,0.0252881879373996,0.0035831968787272,0.1591827570722945,0.0070086298079299,0.6491501452603743,0.6238619573229746,0.1271649943239354,1.9113755226135252
EXP10,10,Temporal robust,importance,1,0.0291895912699673,,0.0291895912699673,0.0211821509228253,0.0610687022900763,0.0314541775079502,0.7013411174291333,0.672151526159166,0.2803393351918083,1.348923683166504
EXP10,10,Temporal robust,topology,1,0.0285053641543598,,0.0285053641543598,0.0211899694642361,0.0514144589133363,0.0300111395059301,0.6981901186845207,0.669684754530161,0.3231598112101964,1.348923683166504
EXP10,10,Temporal robust,uniform,3,0.014748794200726166,0.01777489828729998,0.0352682685448777,0.014817189094772067,0.15615863067180427,0.020305768257564766,0.49634267266775617,0.48159387846702995,0.4364566036047879,0.5001433690388998
EXP11,11,Behavioral temporal,importance,1,0.1538505085909682,,0.1538505085909682,0.1856746614455865,0.2555006735518635,0.2150618917131248,0.8050579862509749,0.6512074776600068,0.2697818910972929,1.515296459197998
EXP11,11,Behavioral temporal,topology,1,0.1877907398553105,,0.1877907398553105,0.3039344262295081,0.2081275258194881,0.2470682302771855,0.8298098706753524,0.6420191308200419,0.3469490040419081,1.515296459197998
EXP11,11,Behavioral temporal,uniform,4,0.08946391243681351,0.07264588901733106,0.1747205826582898,0.20663753753828001,0.0965009979852218,0.10627218823117625,0.6388742493176727,0.5494103368808592,0.47354844853434575,0.571762204170227
EXP12,12,Recent context,importance,1,0.2243866609010047,,0.2243866609010047,0.2942229038854805,0.2584193982936686,0.2751613674396366,0.852064156195731,0.6276774952947262,0.3077747205804234,1.690806865692139
EXP12,12,Recent context,topology,2,0.21447908920314246,0.008971802912432098,0.2208231118819924,0.25178794364187623,0.2687471935339021,0.2550679581021359,0.8492936156108952,0.6348145264077527,0.3058606738314344,1.6908073425292969
EXP12,12,Recent context,uniform,13,0.1732049698690807,0.061292167203704485,0.2485714871712006,0.27663880403488883,0.19266422539908104,0.22252327469962446,0.8119685634150626,0.6387635935459819,0.5923277090332001,1.0373525252709022
EXP14,14,Local temporal R0,importance,1,0.1432709115493529,,0.1432709115493529,0.1981637337413925,0.2325999101930848,0.2140053707911588,,,,
EXP14,14,Local temporal R0,topology,1,0.1579304775007588,,0.1579304775007588,0.2188160676532769,0.2323753929052537,0.2253919860627177,,,,
EXP14,14,Local temporal R0,uniform,1,0.1871015049555408,,0.1871015049555408,0.2586206896551724,0.2593174674449933,0.2589686098654709,,,,
