run,comparison_id,completed_mtime_ns,auprc,roc_auc,accuracy,precision,recall,f1,f1_macro,gmean,specificity,false_positive_rate,alert_rate,prevalence,ap_lift,tn,fp,fn,tp,strategy,seed,best_epoch,epochs,stop_reason,best_val_auprc,checkpoint_val_auprc,max_observed_val_auprc,selection_score,selection_metric,val_test_auprc_gap,decision_threshold,threshold_policy,long_tail_count,long_tail_recall,long_tail_unknown_history_fraud,inference_seconds,inference_ms_per_1000,inference_with_preparation_ms_per_1000,peak_vram_gb,duration_seconds,included_in_summary
exp12_pilot_1000000_control_b371f2b41e990d27_uniform_seed42,b371f2b41e990d27,1789025163087059000,0.06256604057916249,0.9040294379730085,0.9982466666666666,0.17272727272727273,0.09947643979057591,0.12624584717607973,0.5626841500185585,0.3153030507432786,0.9993925598595546,0.0006074401404454477,0.0007333333333333333,0.0012733333333333333,49.13563396269305,149718,91,172,19,uniform,42,26,30,max_epochs,0.7298007080610222,0.7298007080610222,0.7344756433430291,0.7173978733879872,recent_ap,0.6672346674818597,0.7813540101051331,validation,191,0.09947643979057591,0,0.16517010000097798,1.10113400000652,10.351999333336911,0.35559558868408203,21.489553199999136,True
exp12_pilot_1000000_features_only_f6e004d36df5aec3_uniform_seed42,f6e004d36df5aec3,1789025163088063700,0.16657409195699804,0.9476737377181744,0.9984,0.27927927927927926,0.16230366492146597,0.2052980132450331,0.6022486035500904,0.40276170697335467,0.9994659866897182,0.0005340133102818001,0.00074,0.0012733333333333333,130.81734970444873,149729,80,160,31,uniform,42,19,30,max_epochs,0.8069230719722174,0.8069230719722174,0.8122505117550493,0.7844129320431593,recent_ap,0.6403489800152193,0.3090829849243164,validation,191,0.16230366492146597,0,0.142247400000997,0.9483160000066467,4.6106460000009974,0.4276442527770996,16.316729099999066,True
exp12_pilot_1000000_logic_only_9c66709b8deb2129_uniform_seed42,9c66709b8deb2129,1789025163089064500,0.046643298471884344,0.8657157828088184,0.9975466666666667,0.07246376811594203,0.07853403141361257,0.07537688442211055,0.5370742941079051,0.28005960024646304,0.9987183680553238,0.0012816319446762314,0.00138,0.0012733333333333333,36.63086267425472,149617,192,176,15,uniform,42,30,30,max_epochs,0.733669394282905,0.733669394282905,0.733669394282905,0.08758783899573468,recent_ap,0.6870260958110207,0.19262807071208954,validation,191,0.07853403141361257,0,0.08197440000003553,0.5464960000002369,2.0252486666625678,0.35559558868408203,12.340049700000236,True
exp12_pilot_1000000_main_c0889f007b2b418d_uniform_seed42,c0889f007b2b418d,1789025163090929100,0.16657409195699804,0.9476737377181744,0.9985066666666667,0.31868131868131866,0.1518324607329843,0.20567375886524822,0.6024631948357697,0.38957620987797364,0.9995861396845316,0.0004138603154684173,0.0006066666666666667,0.0012733333333333333,130.81734970444873,149747,62,162,29,uniform,42,19,30,max_epochs,0.8069230719722174,0.8069230719722174,0.8122505117550493,0.20971334626911772,recent_ap,0.6403489800152193,0.3606634736061096,validation,191,0.1518324607329843,0,0.1404485000002751,0.9363233333351673,2.4465959999967404,0.4276442527770996,13.98199620000014,True
exp12_pilot_1000000_self_only_7b64eff9fc076c23_uniform_seed42,7b64eff9fc076c23,1789025163091946300,0.11976169490519388,0.9439815494207475,0.9981666666666666,0.1956521739130435,0.14136125654450263,0.1641337386018237,0.5816080327768571,0.37584107791037885,0.9992590565319841,0.0007409434680158977,0.00092,0.0012733333333333333,94.0536870983198,149698,111,164,27,uniform,42,16,30,max_epochs,0.6967676627245819,0.6967676627245819,0.7672287001570235,0.16037104826742543,recent_ap,0.5770059678193881,0.39177677035331726,validation,191,0.14136125654450263,0,0.2036814000002778,1.357876000001852,4.153327999993053,0.4276442527770996,22.152226899999732,True
exp12_recent_context_7bdae5fe466252c7_uniform_seed42,7bdae5fe466252c7,1789026149236357200,0.20734548496938976,0.9765915130974023,0.9981399849919423,0.25158562367864695,0.26717557251908397,0.25914634146341464,0.6291075825180689,0.5166398192059553,0.9990310875822925,0.0009689124177074682,0.0012930439429912509,0.0012175935987490552,170.29120815222308,3650041,3540,3264,1190,uniform,42,7,27,early_stopping,0.8526702909610652,0.8526702909610652,0.8669068543554086,0.16231167204611427,recent_ap,0.6453248059916754,0.322765052318573,validation,4451,0.26690631318804764,1,1.0144486999997753,0.27732066532982197,0.6494213149948064,1.4364314079284668,199.37855720000152,True
exp12_recent_context_7bdae5fe466252c7_topology_seed42,7bdae5fe466252c7,1789026406452363300,0.2208231118819924,0.9705083787510574,0.998390119285354,0.3047619047619048,0.25145936237090255,0.2755566490343216,0.6373754066501446,0.5012818701509186,0.9993006860939992,0.0006993139060007536,0.0010046377358335827,0.0012175935987490552,181.36027662174317,3651026,2555,3334,1120,topology,42,9,29,early_stopping,0.8467994607702443,0.8467994607702443,0.8693891752894569,0.1766282621903946,recent_ap,0.6259763488882518,0.2952009439468384,validation,4451,0.2514041788362166,1,1.1174711999992724,0.3054840098575526,3.4832440640945324,1.6908068656921387,217.26394430000073,True
exp12_recent_context_7bdae5fe466252c7_importance_seed42,7bdae5fe466252c7,1789026650001411900,0.22438666090100473,0.9671920337665896,0.9983422793931714,0.29422290388548056,0.2584193982936686,0.27516136743963665,0.6371657791205078,0.5081575656662508,0.9992443030550028,0.0007556969449972195,0.0010694266183893812,0.0012175935987490552,184.2869912682997,3650820,2761,3303,1151,importance,42,9,29,early_stopping,0.852064156195731,0.852064156195731,0.8719301570190051,0.17631976854240955,recent_ap,0.6276774952947262,0.29219555854797363,validation,4451,0.25791956863626153,1,1.1258506999984093,0.30777472058042343,2.173776604103699,1.6908068656921387,207.93522310000117,True
exp12_recent_context_9178038163c730d0_uniform_seed42,9178038163c730d0,1789028004640189300,0.2062692355642489,0.948941761283892,0.9984789647994073,0.32073643410852715,0.22294566681634487,0.26304635761589407,0.6311425271849098,0.4720353158029501,0.9994244003349043,0.0005755996650956829,0.000846356035412455,0.0012175935987490552,169.40729302138914,3651478,2103,3461,993,uniform,42,22,42,early_stopping,0.8588250845526139,0.8588250845526139,0.870450155327274,0.18618274380660887,recent_ap,0.6525558489883649,0.6917193531990051,validation,4451,0.22287126488429565,1,1.1356750000013562,0.310460397454195,0.7338962311733157,1.4364328384399414,210.74340660000234,True
exp12_recent_context_4b92fbbea32c75a4_uniform_seed42,4b92fbbea32c75a4,1789028236266398100,0.19012562799970856,0.94738719349535,0.9986118230142685,0.3632778264680105,0.18612483161203414,0.24614014251781471,0.6227227071898964,0.43133607691936926,0.9996023079822235,0.00039769201777650753,0.0006238321940604724,0.0012175935987490552,156.14867571170046,3652128,1453,3625,829,uniform,42,9,29,early_stopping,0.8465752919279279,0.8465752919279279,0.8543680208280708,0.15893560155493952,recent_ap,0.6564496639282194,0.9208043813705444,validation,4451,0.18602561222197259,1,1.114251899998635,0.30460394720078815,0.7335428173870489,1.4364328384399414,130.03948780000064,True
